"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.800111102441 42.88204446113, -78.800090080734 42.882931493747))","844","477,794,321","156","298","157","299","Cambria Street",,"12","A41","5","25","14206","14206","98.63317139827"
"MULTILINESTRING ((-78.880438207396 42.931896518494, -78.880439137747 42.931942495781))","4,946","477,780,337",,,,,"Connecting Road",,"12","A60","5","25","14222","14222","5.11250427813"
"MULTILINESTRING ((-78.849589576933 42.927635686505, -78.849008131548 42.927633514075, -78.846135165767 42.92758751056))","5,607","600,033,200","38","132","47","139","Kensington Avenue",,"12","A41","4","25","14214","14214","282.29208907232"
"MULTILINESTRING ((-78.832674104601 42.899729446392, -78.83178613212 42.900010509328))","6,337","477,789,558","1060","1088","1051","1083","Sycamore Street",,"12","A31","4","35","14211","14212","79.02286377982"
"MULTILINESTRING ((-78.85140616874 42.907433459704, -78.850194123572 42.907414505282))","5,358","477,787,411","422","440","419","449","Northampton Street",,"12","A41","4","25","14208","14208","99.08273916275"
"MULTILINESTRING ((-78.843478189967 42.926055490336, -78.843487201464 42.925694498046))","5,650","477,782,447","42","98","43","99","Trinidad Place",,"12","A41","5","25","14214","14214","40.14235294508"
"MULTILINESTRING ((-78.845253161701 42.870743477668, -78.845007122824 42.870682514021))","10,722","477,797,327",,,,,"Interstate 190 Southbound","190","06","A15","1","65","14210","14210","21.23158496222"
"MULTILINESTRING ((-78.861792127332 42.84878050962, -78.861819167407 42.848831458004))","11,591","477,800,725",,,,,"State Route 5","5","01","A15","2","65","14203","14203","6.08112654014"
"MULTILINESTRING ((-78.857697160435 42.896122510802, -78.857605166498 42.896000463256))","6,946","477,790,508",,,,,"Walkway",,"12","A71","5","5","14204","14204","15.5139324483"
"MULTILINESTRING ((-78.876960171644 42.935409475144, -78.876868114794 42.934997437303))","3,205","477,779,229","228","398","227","399","Nottingham Court",,"12","A41","5","25","14216","14216","46.4251235866"
"MULTILINESTRING ((-78.818684177659 42.832044468338, -78.818290081745 42.832045474953, -78.817736148943 42.832035430434))","21","477,802,838","140","162","131","165","Dorrance Avenue",,"12","A41","5","25","14220","14218","77.58922030665"
"MULTILINESTRING ((-78.845166104026 42.911013451982, -78.843695107568 42.910995485928))","6,100","477,786,601","554","586","551","585","East Utica Street",,"12","A31","4","35","14208","14208","120.2335231955"
"MULTILINESTRING ((-78.845736146459 42.935772441921, -78.846128199687 42.935875488564, -78.846478173961 42.935936461936, -78.846741099123 42.93595147363, -78.847038195361 42.935950478513, -78.847356104629 42.935931494939, -78.84767814652 42.935884459852))","4,340","477,779,045","52","108","59","115","Jewett Parkway",,"12","A41","5","25","14214","14214","162.09134250455"
